iter	Passed	Remaining
889	3206	396
890	3209	392
891	3212	388
892	3215	385
893	3220	381
894	3223	378
895	3226	374
896	3230	371
897	3235	367
898	3239	363
899	3242	360
900	3245	356
901	3249	353
902	3254	349
903	3257	345
904	3260	342
905	3264	338
906	3269	335
907	3273	331
908	3277	328
909	3281	324
910	3285	320
911	3288	317
912	3293	313
913	3297	310
914	3299	306
915	3302	302
916	3307	299
917	3311	295
918	3314	292
919	3317	288
920	3321	284
921	3325	281
922	3328	277
923	3331	273
924	3334	270
925	3338	266
926	3341	263
927	3344	259
928	3347	255
929	3351	252
930	3355	248
931	3358	245
932	3360	241
933	3364	237
934	3368	234
935	3371	230
936	3373	226
937	3376	223
938	3381	219
939	3384	216
940	3387	212
941	3390	208
942	3394	205
943	3397	201
944	3400	197
945	3404	194
946	3408	190
947	3411	187
948	3415	183
949	3418	179
950	3421	176
951	3425	172
952	3429	169
953	3432	165
954	3434	161
955	3438	158
956	3441	154
957	3443	150
958	3449	147
959	3453	143
960	3456	140
961	3459	136
962	3462	133
963	3465	129
964	3469	125
965	3473	122
966	3476	118
967	3479	115
968	3483	111
969	3486	107
970	3490	104
971	3493	100
972	3496	97
973	3499	93
974	3503	89
975	3505	86
976	3508	82
977	3512	79
978	3516	75
979	3519	71
980	3521	68
981	3526	64
982	3529	61
983	3533	57
984	3536	53
985	3539	50
986	3542	46
987	3545	43
988	3548	39
989	3551	35
990	3555	32
991	3557	28
992	3560	25
993	3563	21
994	3566	17
995	3570	14
996	3573	10
997	3576	7
998	3580	3
999	3584	0
